dataset,multiclass,smoke,n_full,n_used,subsampled,split_type,seed,k,model,accuracy,auroc,f1,n_train,n_test,pos_frac_train,pos_frac_test,target_test_frac
human_nontata_promoters,False,False,36131,20000,True,random,2,4,RF,0.861627674465107,0.9602437506850552,0.860540104796453,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,2,6,LR,0.8568286342731454,0.9255585214414205,0.8599374021909233,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,2,6,RF,0.8992201559688062,0.9809885910107867,0.9012152097216778,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,0,4,LR,0.8106757297081167,0.8823193242162658,0.8167924163281098,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,0,4,RF,0.789484206317473,0.8763522095265992,0.8026981450252951,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,0,6,LR,0.8044782087165134,0.8861162494576339,0.8185528756957329,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,0,6,RF,0.7534986005597761,0.8780819807814294,0.7916877850988343,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,1,4,LR,0.8051507286883609,0.8805054509988357,0.8138115223197253,14991,5009,0.5443265959575746,0.5432222000399282,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,1,4,RF,0.7937712118187263,0.8767456817346564,0.8068797906150682,14991,5009,0.5443265959575746,0.5432222000399282,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,1,6,LR,0.8059492912757037,0.8887786460140373,0.8214548126377663,14991,5009,0.5443265959575746,0.5432222000399282,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,1,6,RF,0.7656218806148932,0.8807267934197371,0.8003401360544218,14991,5009,0.5443265959575746,0.5432222000399282,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,2,4,LR,0.8316673330667733,0.9006475525009583,0.8357393679282091,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,2,4,RF,0.8082766893242703,0.8892877921425915,0.8215813953488372,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,2,6,LR,0.8276689324270292,0.9049966318118403,0.8397173670509483,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.5,2,6,RF,0.7838864454218313,0.8948976259308437,0.813909450852126,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,0,4,LR,0.8254698120751699,0.8954200535848849,0.8295254833040422,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,0,4,RF,0.8296681327469012,0.9059630222725772,0.8343701399688958,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,0,6,LR,0.8418632546981207,0.9106565735416212,0.8480307396733909,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,0,6,RF,0.8408636545381847,0.9298585489867964,0.852810650887574,14998,5002,0.544072543005734,0.5439824070371851,0.25005
