dataset,scale,n_used,split_type,seed,k,model,accuracy,auroc,f1
demo_human_or_worm,subsample,20000,homology@0.7,1,6,LinearSVC,0.9486,0.9876068799999999,0.9479440956046182
demo_human_or_worm,subsample,20000,homology@0.7,1,6,RF,0.9228,0.9779508,0.9233518665607625
demo_human_or_worm,subsample,20000,homology@0.7,1,6,HGB,0.9398,0.98344912,0.9391550434606832
demo_human_or_worm,subsample,20000,homology@0.7,2,6,LR,0.9418,0.98623456,0.9411050394656952
demo_human_or_worm,subsample,20000,homology@0.7,2,6,LinearSVC,0.9476,0.98748976,0.9471561113352158
demo_human_or_worm,subsample,20000,homology@0.7,2,6,RF,0.922,0.97605784,0.9232887490165225
demo_human_or_worm,subsample,20000,homology@0.7,2,6,HGB,0.9338,0.9818572799999999,0.9336274313214358
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,4,LR,0.8836,0.95371936,0.8851617995264404
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,4,LinearSVC,0.8858,0.9543441599999999,0.8872210152083745
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,4,RF,0.8586,0.9359252,0.8622100954979536
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,4,HGB,0.8862,0.9547903999999999,0.8876604146100691
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,4,LR,0.8876,0.95471632,0.8884920634920634
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,4,LinearSVC,0.89,0.9558380799999999,0.8908730158730159
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,4,RF,0.8642,0.9409888000000001,0.8664174699980327
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,4,HGB,0.894,0.95918576,0.894380231167796
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,4,LR,0.8858,0.95249568,0.8868634832573806
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,4,LinearSVC,0.888,0.9537827200000001,0.8892405063291139
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,4,RF,0.862,0.9396109600000001,0.8640661938534279
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,4,HGB,0.8886,0.9546102399999999,0.889593657086224
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,4,LR,0.8808,0.9515454400000001,0.8821668643732701
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,4,LinearSVC,0.8852,0.9525528000000001,0.887007874015748
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,4,RF,0.851,0.93298784,0.8546908523503023
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,4,HGB,0.8826,0.9534169600000001,0.8834623783998412
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,4,LR,0.8788,0.95137056,0.8798095993653312
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,4,LinearSVC,0.879,0.95235632,0.8800792864222002
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,4,RF,0.8538,0.9323511200000001,0.8572544424917008
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,4,HGB,0.8814,0.9502908799999998,0.881328797278367
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,4,LR,0.882,0.9531342399999998,0.8832145684877276
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,4,LinearSVC,0.8846,0.9540100800000001,0.8859458390986361
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,4,RF,0.8562,0.9355735199999999,0.8591576885406464
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,4,HGB,0.887,0.9546628800000001,0.8878745782893431
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,4,LR,0.8874,0.9574588800000001,0.8883158103550883
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,4,LinearSVC,0.8894,0.9587014400000001,0.8903430497719611
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,4,RF,0.8702,0.9422619999999999,0.8732174252783746
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,4,HGB,0.8924,0.95921664,0.8929566255471548
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,6,LR,0.8878,0.9576025600000001,0.8883582089552239
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,6,LinearSVC,0.8902,0.9536896000000001,0.8904410297345839
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,6,RF,0.8414,0.92726632,0.8450263826460817
demo_coding_vs_intergenomic_seqs,subsample,20000,original,-1,6,HGB,0.8702,0.94751264,0.8718151293699388
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,6,LR,0.894,0.960808,0.8942959712804148
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,6,LinearSVC,0.8906,0.95555232,0.8905343205923554
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,6,RF,0.8484,0.93281568,0.8509047993705744
demo_coding_vs_intergenomic_seqs,subsample,20000,random,0,6,HGB,0.8808,0.9528265600000001,0.8816050854191498
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,6,LR,0.891,0.9594724800000001,0.890715861239222
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,6,LinearSVC,0.8852,0.9529168000000001,0.8853375948861366
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,6,RF,0.8574,0.93303464,0.8591744025281454
demo_coding_vs_intergenomic_seqs,subsample,20000,random,1,6,HGB,0.8748,0.9496556799999999,0.8753484667463162
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,6,LR,0.8864,0.95634336,0.8865814696485623
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,6,LinearSVC,0.8822,0.94917344,0.8825991628463224
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,6,RF,0.8336,0.92264896,0.8374364986322782
demo_coding_vs_intergenomic_seqs,subsample,20000,random,2,6,HGB,0.8706,0.94595312,0.8722101520837449
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,6,LR,0.8822,0.9563534399999999,0.8827860696517413
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,6,LinearSVC,0.8808,0.95006544,0.8811802232854864
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,6,RF,0.8408,0.9242820799999999,0.8437377306635258
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,0,6,HGB,0.8698,0.94355088,0.8710635769459298
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,6,LR,0.8912,0.9596849600000001,0.8910256410256411
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,6,LinearSVC,0.8862,0.95519664,0.8864498104170824
